HNetID,VIN,Stock #,Stock-Type,Year,Make,Model,Model-No,Model-Type,Transmission,Trim-Level,# of Doors,Mileage,# of Cyl,Engine,Drivetrain,Ext. Color,Int. Color,Invoice Price,Retail Price,Book Value,Selling Price,Entry Date,Certified,Description,Options,Wheelbase,Commercial
2122511,5XXGN4A71FG401759,K19788,NEW,2015,KIA,OPTIMA,53242/040,,,,,10,,G4KJEK57463,,3D_BRIGHT_SILVER/3D_BRIGHT_SILVER,,29287.00,30935.00,,30935.00,09/11/14,,,CT PB PPO SST,,
2122511,5XXGM4A7XFG448369,K20443,NEW,2015,KIA,OPTIMA,53222/025,SD,AUTOMATIC,,,5,,,,EBONY_BLACK/EBONY_BLACK,,23282.00,24120.00,,24120.00,02/04/15,,,CF CKG RS,,
2122511,5XYPG4A38GG036694,K20574,NEW,2016,KIA,SORENTO,73222/020,UT,AUTOMATIC,,,9,,,,SPARKLING_SILVER/SPARKLING_SILVER,,27838.00,28670.00,,28670.00,03/18/15,,,CF CPK EH MUG,,
2122511,5XXGN4A75FG449006,K20444,NEW,2015,KIA,OPTIMA,53242/030,SD,AUTOMATIC,,,4,,,,TITANIUM_GRAY/TITANIUM_GRAY,,27601.00,29200.00,,29200.00,02/04/15,,,CA CN CT EH PB PPO WL,,
2122511,KNDPBCAC3F7771300,K20706,NEW,2015,KIA,SPORTAGE,42422/010,MP,AUTOMATIC,,,9,,,,BRIGHT_SILVER/BRIGHT_SILVER,,23763.00,24475.00,,24475.00,03/31/15,,,CF CN,,
2122511,KNAFK4A64F5412235,K20837,NEW,2015,KIA,Forte,C3422/020,SD,AUTOMATIC,,,6,,,,SILKY_SILVER/SILKY_SILVER,,17995.00,18515.00,,18515.00,04/13/15,,,CF CT,,
2122511,KNAGM4A70F5591297,K20707,NEW,2015,KIA,OPTIMA,53222/010,SD,AUTOMATIC,,,13,,,,SNOW_WHITE_PEARL/SNOW_WHITE_PEARL,,22126.00,22845.00,,22845.00,03/31/15,,,SWP CF,,
2122511,KNAFX4A81F5266458,K19528,NEW,2015,KIA,Forte,C5462/035,SD,AUTOMATIC,,,5,,,,AURORA_BLACK/AURORA_BLACK,,20620.00,21460.00,,21460.00,07/23/14,,,CF CT PP U17,,
2122511,KNAFK4A63F5413585,K20838,NEW,2015,KIA,Forte,C3422/020,SD,AUTOMATIC,,,14,,,,SILKY_SILVER/SILKY_SILVER,,17995.00,18515.00,,18515.00,04/13/15,,,CF CT,,
2122511,5XYPGDA3XGG006970,K20445,NEW,2016,KIA,SORENTO,73422/010,UT,AUTOMATIC,,,10,,,,EBONY_BLACK/EBONY_BLACK,,28375.00,29120.00,,29120.00,02/06/15,,,CF CT,,
